Player;Team;Position;Salary
Aramis Ramirez;Chicago Cubs;Third Baseman;14600000
Armando Galarraga;Arizona Diamondbacks;Pitcher;2300000
Aroldis Chapman;Cincinnati Reds;Pitcher;3835772
Arthur Rhodes;Texas Rangers;Pitcher;3900000
Asdrubal Cabrera;Cleveland Indians;Shortstop;2025000
Aubrey Huff;San Francisco Giants;First Baseman;10000000
Austin Jackson;Detroit Tigers;Outfielder;440000
Austin Kearns;Cleveland Indians;Outfielder;1300000
B.J. Upton;Tampa Bay Rays;Outfielder;4825000
Barry Enright;Arizona Diamondbacks;Pitcher;418000
Barry Zito;San Francisco Giants;Pitcher;18500000
Bartolo Colon;New York Yankees;Pitcher;900000
Ben Francisco;Philadelphia Phillies;Outfielder;1175000
Ben Zobrist;Tampa Bay Rays;Shortstop;4687300
Bill Bray;Cincinnati Reds;Pitcher;645000
Bill Hall;Houston Astros;Outfielder;3000000
Billy Butler;Kansas City Royals;First Baseman;3500000
Blaine Boyer;New York Mets;Pitcher;725000
Blake DeWitt;Chicago Cubs;Second Baseman;460000
Blake Hawksworth;Los Angeles Dodgers;Pitcher;426000
Bob Cramer;Oakland Athletics;Pitcher;414000
Bobby Abreu;Los Angeles Angels;Outfielder;9000000
Bobby Cassevah;Los Angeles Angels;Pitcher;414000
Bobby Jenks;Boston Red Sox;Pitcher;6000000
Bobby Wilson;Los Angeles Angels;Catcher;416000
Boone Logan;New York Yankees;Pitcher;1200000
Brad Bergesen;Baltimore Orioles;Pitcher;434000
Brad Emaus;New York Mets;Second Baseman;414000
Brad Hawpe;San Diego Padres;First Baseman;2000000
Brad Lidge;Philadelphia Phillies;Pitcher;12000000
Brad Lincoln;Pittsburgh Pirates;Pitcher;414500
Brad Penny;Detroit Tigers;Pitcher;3000000
Brad Thomas;Detroit Tigers;Pitcher;800000
Brad Ziegler;Oakland Athletics;Pitcher;1250000
Brandon Beachy;Atlanta Braves;Pitcher;416500
Brandon Belt;San Francisco Giants;First Baseman;414000
Brandon Hicks;Atlanta Braves;Shortstop;414000
Brandon Inge;Detroit Tigers;Third Baseman;5500000
Brandon Kintzler;Milwaukee Brewers;Pitcher;414000
Brandon League;Seattle Mariners;Pitcher;2250000
Brandon Lyon;Houston Astros;Pitcher;5250000
Brandon McCarthy;Oakland Athletics;Pitcher;1000000
Brandon Morrow;Toronto Blue Jays;Pitcher;2300000
Brandon Phillips;Cincinnati Reds;Second Baseman;11437500
Brandon Webb;Texas Rangers;Pitcher;3000000
Brandon Wood;Los Angeles Angels;Third Baseman;420000
Brayan Pena;Kansas City Royals;Catcher;660000
Brayan Villarreal;Detroit Tigers;Pitcher;414000
Brendan Ryan;Seattle Mariners;Shortstop;1000000
Brennan Boesch;Detroit Tigers;Outfielder;430000
Brent Lillibridge;Chicago White Sox;Second Baseman;430000
Brent Morel;Chicago White Sox;Third Baseman;414000
Brett Anderson;Oakland Athletics;Pitcher;1250000
Brett Cecil;Toronto Blue Jays;Pitcher;443100
Brett Gardner;New York Yankees;Outfielder;529500
Brett Hayes;Miami Marlins;Catcher;414000
Brett Myers;Houston Astros;Pitcher;8000000
Brett Wallace;Houston Astros;First Baseman;418000
Brian Bocock;Philadelphia Phillies;Shortstop;414000
Brian Broderick;Washington Nationals;Pitcher;414000
Brian Duensing;Minnesota Twins;Pitcher;462500
Brian Fuentes;Oakland Athletics;Pitcher;5000000
Brian Matusz;Baltimore Orioles;Pitcher;1350000
Brian McCann;Atlanta Braves;Catcher;6700000
Brian Roberts;Baltimore Orioles;Second Baseman;10000000
Brian Sanches;Miami Marlins;Pitcher;425000
Brian Schlitter;Philadelphia Phillies;Pitcher;414000
Brian Schneider;Philadelphia Phillies;Catcher;1625000
Brian Tallet;St. Louis Cardinals;Pitcher;750000
Brian Wilson;San Francisco Giants;Pitcher;6500000
Bronson Arroyo;Cincinnati Reds;Pitcher;7666666
Brooks Conrad;Atlanta Braves;Third Baseman;427250
Bruce Chen;Kansas City Royals;Pitcher;2000000
Bryan Augenstein;St. Louis Cardinals;Pitcher;414000
Bud Norris;Houston Astros;Pitcher;437500
Buster Posey;San Francisco Giants;Catcher;575000
C.J. Wilson;Texas Rangers;Pitcher;7000000
Cameron Maybin;San Diego Padres;Outfielder;429100
Carl Crawford;Boston Red Sox;Outfielder;14857142
Carl Pavano;Minnesota Twins;Pitcher;8000000
Carlos Beltran;New York Mets;Outfielder;19325436
Carlos Carrasco;Cleveland Indians;Pitcher;415800
Carlos Gomez;Milwaukee Brewers;Outfielder;1500000
Carlos Gonzalez;Colorado Rockies;Outfielder;1428571
Carlos Guillen;Detroit Tigers;Outfielder;12922231
Carlos Lee;Houston Astros;Outfielder;19000000
Carlos Marmol;Chicago Cubs;Pitcher;2533333
Carlos Pena;Chicago Cubs;First Baseman;9959996
Carlos Quentin;Chicago White Sox;Outfielder;5050000
Carlos Ruiz;Philadelphia Phillies;Catcher;2750000
Carlos Santana;Cleveland Indians;Catcher;416600
Carlos Villanueva;Toronto Blue Jays;Pitcher;1415000
Carlos Zambrano;Chicago Cubs;Pitcher;18875000
Casey Blake;Los Angeles Dodgers;Third Baseman;5500000
Casey Janssen;Toronto Blue Jays;Pitcher;1095000
Casey McGehee;Milwaukee Brewers;Third Baseman;478000
Casper Wells;Detroit Tigers;Outfielder;418000
CC Sabathia;New York Yankees;Pitcher;24285714
Cedric Hunter;San Diego Padres;Outfielder;414000
Cesar Izturis;Baltimore Orioles;Shortstop;1500000
Cesar Ramos;Tampa Bay Rays;Pitcher;416700
Chad Billingsley;Los Angeles Dodgers;Pitcher;6275000
Chad Durbin;Cleveland Indians;Pitcher;800000
Chad Gaudin;Washington Nationals;Pitcher;900000
Chad Qualls;San Diego Padres;Pitcher;1500000
Charlie Morton;Pittsburgh Pirates;Pitcher;441000
Chase Headley;San Diego Padres;Third Baseman;2325000
Chase Utley;Philadelphia Phillies;Second Baseman;15285714
Chien-Ming Wang;Washington Nationals;Pitcher;1200000
Chin-Lung Hu;New York Mets;Shortstop;420000
Chipper Jones;Atlanta Braves;Third Baseman;14000000
Chone Figgins;Seattle Mariners;Second Baseman;9500000
Chris B. Young;Arizona Diamondbacks;Outfielder;5200000
Chris Capuano;New York Mets;Pitcher;1500000
Chris Carpenter;St. Louis Cardinals;Pitcher;14259403
Chris Coghlan;Miami Marlins;Outfielder;490000
Chris D. Johnson;Houston Astros;Third Baseman;424000
Chris Denorfia;San Diego Padres;Outfielder;800000
Chris Getz;Kansas City Royals;Second Baseman;443000
Chris Heisey;Cincinnati Reds;Outfielder;419000
Chris Iannetta;Colorado Rockies;Catcher;2550000
Chris Narveson;Milwaukee Brewers;Pitcher;441500
Chris Perez;Cleveland Indians;Pitcher;2225000
Chris Pettit;Los Angeles Angels;Outfielder;414000
Chris R. Young;New York Mets;Pitcher;1100000
Chris Ray;Seattle Mariners;Pitcher;1000000
Chris Resop;Pittsburgh Pirates;Pitcher;431500
Chris Sale;Chicago White Sox;Pitcher;425000
Chris Snyder;Pittsburgh Pirates;Catcher;6250000
Chris Tillman;Baltimore Orioles;Pitcher;417000
Chris Volstad;Miami Marlins;Pitcher;445000
Clay Buchholz;Boston Red Sox;Pitcher;555000
Clay Hensley;Miami Marlins;Pitcher;1400000
Clayton Kershaw;Los Angeles Dodgers;Pitcher;500000
Clayton Richard;San Diego Padres;Pitcher;468800
Cliff Lee;Philadelphia Phillies;Pitcher;11000000
Cliff Pennington;Oakland Athletics;Shortstop;420000
Clint Barmes;Houston Astros;Second Baseman;3925000
Coco Crisp;Oakland Athletics;Outfielder;5750000
Cody Ross;San Francisco Giants;Outfielder;6300000
Colby Lewis;Texas Rangers;Pitcher;2000000
Colby Rasmus;St. Louis Cardinals;Outfielder;443000
Cole Hamels;Philadelphia Phillies;Pitcher;9500000
Colin Curtis;New York Yankees;Outfielder;420400
Conor Jackson;Oakland Athletics;First Baseman;3200000
Corey Hart;Milwaukee Brewers;Outfielder;6833333
Corey Patterson;Toronto Blue Jays;Outfielder;900000
Cory Luebke;San Diego Padres;Pitcher;415600
Craig Breslow;Oakland Athletics;Pitcher;1400000
Craig Counsell;Milwaukee Brewers;Second Baseman;1400000
Craig Kimbrel;Atlanta Braves;Pitcher;419000
Cristhian Martinez;Atlanta Braves;Pitcher;419000
Curtis Granderson;New York Yankees;Outfielder;8250000
D.J. Carrasco;New York Mets;Pitcher;1200000
Daisuke Matsuzaka;Boston Red Sox;Pitcher;10333333
Dallas Braden;Oakland Athletics;Pitcher;3350000
Damaso Marte;New York Yankees;Pitcher;4000000
Dan Haren;Los Angeles Angels;Pitcher;12750000
Dan Hudson;Arizona Diamondbacks;Pitcher;419000
Dan Johnson;Tampa Bay Rays;First Baseman;1000000
Dan Runzler;San Francisco Giants;Pitcher;418500
Dan Uggla;Atlanta Braves;Second Baseman;9146942
Dan Wheeler;Boston Red Sox;Pitcher;3000000
Daniel Bard;Boston Red Sox;Pitcher;505000
Daniel Descalso;St. Louis Cardinals;Second Baseman;414000
Daniel Murphy;New York Mets;Second Baseman;422000
Daniel Schlereth;Detroit Tigers;Pitcher;418000
Danny Espinosa;Washington Nationals;Shortstop;415000
Danny Valencia;Minnesota Twins;Third Baseman;437500
Danys Baez;Philadelphia Phillies;Pitcher;2750000
Daric Barton;Oakland Athletics;First Baseman;425000
Darnell McDonald;Boston Red Sox;Outfielder;470000
Darren O'Day;Texas Rangers;Pitcher;1251000
Darren Oliver;Texas Rangers;Pitcher;3250000
Darwin Barney;Chicago Cubs;Shortstop;417000
Dave Bush;Texas Rangers;Pitcher;1000000
David Aardsma;Seattle Mariners;Pitcher;4500000
David DeJesus;Oakland Athletics;Outfielder;6000000
David Freese;St. Louis Cardinals;Third Baseman;416000
David Herndon;Philadelphia Phillies;Pitcher;425000
David J. Hernandez;Arizona Diamondbacks;Pitcher;423500
David Murphy;Texas Rangers;Outfielder;2400000
David Ortiz;Boston Red Sox;Designated Hitter;12500000
David Pauley;Seattle Mariners;Pitcher;422000
David Price;Tampa Bay Rays;Pitcher;2084671
David Purcey;Toronto Blue Jays;Pitcher;436400
David Robertson;New York Yankees;Pitcher;460450
David Ross;Atlanta Braves;Catcher;1625000
David Wright;New York Mets;Third Baseman;14250000
Dayan Viciedo;Chicago White Sox;Third Baseman;2250000
Delmon Young;Minnesota Twins;Outfielder;5375000
Denard Span;Minnesota Twins;Outfielder;1000000
Dennys Reyes;Boston Red Sox;Pitcher;900000
Derek Holland;Texas Rangers;Pitcher;431810
Derek Jeter;New York Yankees;Shortstop;14729364
Derek Lowe;Atlanta Braves;Pitcher;15000000
Derrek Lee;Baltimore Orioles;First Baseman;7250000
Dexter Fowler;Colorado Rockies;Outfielder;424000
Dioner Navarro;Los Angeles Dodgers;Catcher;1000000
Domonic Brown;Philadelphia Phillies;Outfielder;414000
Don Kelly;Detroit Tigers;Outfielder;423000
Donnie Murphy;Miami Marlins;Third Baseman;425000
Doug Fister;Seattle Mariners;Pitcher;436500
Doug Slaten;Washington Nationals;Pitcher;695000
Drew Butera;Minnesota Twins;Catcher;429000
Drew Storen;Washington Nationals;Pitcher;418000
Drew Stubbs;Cincinnati Reds;Outfielder;450000
Dustin McGowan;Toronto Blue Jays;Pitcher;450000
Dustin Moseley;San Diego Padres;Pitcher;900000
Dustin Pedroia;Boston Red Sox;Second Baseman;5750000
Dusty Hughes;Minnesota Twins;Pitcher;429000
Edgar Renteria;Cincinnati Reds;Shortstop;2068391
Edinson Volquez;Cincinnati Reds;Pitcher;1625000
Eduardo Nunez;New York Yankees;Shortstop;419300
Edward Mujica;Miami Marlins;Pitcher;800000
Edwin Encarnacion;Toronto Blue Jays;Third Baseman;2500000
Edwin Jackson;Chicago White Sox;Pitcher;8750000
Eli Whiteside;San Francisco Giants;Catcher;425000
Elliot Johnson;Tampa Bay Rays;Second Baseman;414900
Elvin Ramirez;Washington Nationals;Pitcher;414000
Elvis Andrus;Texas Rangers;Shortstop;452180
Emilio Bonifacio;Miami Marlins;Third Baseman;425000
Enerio Del Rosario;Houston Astros;Pitcher;417000
Enrique Gonzalez;Detroit Tigers;Pitcher;435000
Eric Chavez;New York Yankees;Third Baseman;1500000
Eric Hinske;Atlanta Braves;Outfielder;1350000
Eric O'Flaherty;Atlanta Braves;Pitcher;895000
Eric Patterson;San Diego Padres;Second Baseman;423300
Erick Almonte;Milwaukee Brewers;Infielder;414000
Erick Aybar;Los Angeles Angels;Shortstop;3000000
Erik Bedard;Seattle Mariners;Pitcher;1000000
Ernesto Frieri;San Diego Padres;Pitcher;417100
Ervin Santana;Los Angeles Angels;Pitcher;8000000
Esmil Rogers;Colorado Rockies;Pitcher;417000
Evan Longoria;Tampa Bay Rays;Third Baseman;2000000
Evan Meek;Pittsburgh Pirates;Pitcher;461500
Fausto Carmona;Cleveland Indians;Pitcher;6287500
Felipe Paulino;Colorado Rockies;Pitcher;790000
Felix Doubront;Boston Red Sox;Pitcher;417000
Felix Hernandez;Seattle Mariners;Pitcher;11700000
Felix Pie;Baltimore Orioles;Outfielder;985000
Fernando Abad;Houston Astros;Pitcher;418000
Fernando Rodney;Los Angeles Angels;Pitcher;5500000
Francisco Cervelli;New York Yankees;Catcher;455700
Francisco Cordero;Cincinnati Reds;Pitcher;12125000
Francisco Liriano;Minnesota Twins;Pitcher;4300000
Francisco Rodriguez;New York Mets;Pitcher;12166666
Frank Francisco;Toronto Blue Jays;Pitcher;4000000
Frank Herrmann;Cleveland Indians;Pitcher;419800
Franklin Gutierrez;Seattle Mariners;Outfielder;4312500
Franklin Morales;Colorado Rockies;Pitcher;424000
Fred Lewis;Cincinnati Reds;Outfielder;900000
Freddie Freeman;Atlanta Braves;First Baseman;414000
Freddy Garcia;New York Yankees;Pitcher;1500000
Freddy Sanchez;San Francisco Giants;Second Baseman;6000000
Freddy Sandoval;Los Angeles Angels;Third Baseman;414000
Gaby Sanchez;Miami Marlins;First Baseman;431000
Garrett Jones;Pittsburgh Pirates;Outfielder;455500
Garrett Olson;Pittsburgh Pirates;Pitcher;430000
Gavin Floyd;Chicago White Sox;Pitcher;5000000
Geoff Blum;Arizona Diamondbacks;Second Baseman;1350000
George Kottaras;Milwaukee Brewers;Catcher;440000
George Sherrill;Atlanta Braves;Pitcher;1200000
Geovany Soto;Chicago Cubs;Catcher;3000000
Gerald Laird;St. Louis Cardinals;Catcher;1000000
Gerardo Parra;Arizona Diamondbacks;Outfielder;426000
Giovany Gonzalez;Oakland Athletics;Pitcher;420000
Glen Perkins;Minnesota Twins;Pitcher;700000
Gordon Beckham;Chicago White Sox;Second Baseman;485000
Grady Sizemore;Cleveland Indians;Outfielder;7666666
Grant Balfour;Oakland Athletics;Pitcher;3750000
Greg Dobbs;Miami Marlins;First Baseman;600000
Guillermo Mota;San Francisco Giants;Pitcher;925000
Gustavo Molina;New York Yankees;Catcher;455000
Hank Conger;Los Angeles Angels;Catcher;414000
Hanley Ramirez;Miami Marlins;Shortstop;11000000
Heath Bell;San Diego Padres;Pitcher;7500000
Hector Gimenez;Los Angeles Dodgers;Catcher;425000
Henry Alberto Rodriguez;Washington Nationals;Pitcher;415000
Henry Barrera;Kansas City Royals;Pitcher;414000
Henry Blanco;Arizona Diamondbacks;Catcher;1000000
Hideki Matsui;Oakland Athletics;Designated Hitter;4250000
Hiroki Kuroda;Los Angeles Dodgers;Pitcher;11765724
Hisanori Takahashi;Los Angeles Angels;Pitcher;3800000
Homer Bailey;Cincinnati Reds;Pitcher;441000
Hong-Chih Kuo;Los Angeles Dodgers;Pitcher;2725000
Howie Kendrick;Los Angeles Angels;Second Baseman;3300000
Humberto Quintero;Houston Astros;Catcher;1000000
Hunter Pence;Houston Astros;Outfielder;6900000
Huston Street;Colorado Rockies;Pitcher;7300000
Ian Desmond;Washington Nationals;Shortstop;441500
Ian Kennedy;Arizona Diamondbacks;Pitcher;423000
Ian Kinsler;Texas Rangers;Second Baseman;6200000
Ian Stewart;Colorado Rockies;Third Baseman;2287500
Ichiro Suzuki;Seattle Mariners;Outfielder;18000000
Ike Davis;New York Mets;First Baseman;432000
Ivan DeJesus;Los Angeles Dodgers;Shortstop;414000
Ivan Nova;New York Yankees;Pitcher;432900
Ivan Rodriguez;Washington Nationals;Catcher;3000000
J.A. Happ;Houston Astros;Pitcher;474000
J.C. Romero;Philadelphia Phillies;Pitcher;1350000
J.D. Drew;Boston Red Sox;Outfielder;14000000
J.J. Hardy;Baltimore Orioles;Shortstop;5850000
J.J. Putz;Arizona Diamondbacks;Pitcher;4000000
J.P. Arencibia;Toronto Blue Jays;Catcher;417400
J.P. Howell;Tampa Bay Rays;Pitcher;1100000
J.R. Towles;Houston Astros;Catcher;424000
Jack Cust;Seattle Mariners;Designated Hitter;2500000
Jack Hannahan;Cleveland Indians;Third Baseman;500000
Jack Wilson;Seattle Mariners;Second Baseman;5000000
Jacoby Ellsbury;Boston Red Sox;Outfielder;2400000
Jaime Garcia;St. Louis Cardinals;Pitcher;437000
Jair Jurrjens;Atlanta Braves;Pitcher;3250000
Jake Arrieta;Baltimore Orioles;Pitcher;419000
Jake Fox;Baltimore Orioles;First Baseman;424000
Jake McGee;Tampa Bay Rays;Pitcher;415200
Jake Peavy;Chicago White Sox;Pitcher;16000000
Jake Westbrook;St. Louis Cardinals;Pitcher;8000000
James Loney;Los Angeles Dodgers;First Baseman;4875000
James McDonald;Pittsburgh Pirates;Pitcher;443000
James Russell;Chicago Cubs;Pitcher;427500
James Shields;Tampa Bay Rays;Pitcher;4250000
Jamey Carroll;Los Angeles Dodgers;Infielder;2285677
Jamey Wright;Seattle Mariners;Pitcher;900000
Jared (Levi) Burton;Cincinnati Reds;Pitcher;750000
Jared Goedert;Cleveland Indians;Infielder;414000
Jarrett Hoffpauir;San Diego Padres;Second Baseman;414800
Jarrod Dyson;Kansas City Royals;Outfielder;414000
Jarrod Saltalamacchia;Boston Red Sox;Catcher;750000
Jason Bartlett;San Diego Padres;Shortstop;4000000
Jason Bay;New York Mets;Outfielder;18125000
Jason Berken;Baltimore Orioles;Pitcher;426500
Jason Bourgeois;Houston Astros;Outfielder;423000
Jason Bulger;Los Angeles Angels;Pitcher;423000
Jason Castro;Houston Astros;Catcher;421500
Jason Donald;Cleveland Indians;Shortstop;423200
Jason Frasor;Toronto Blue Jays;Pitcher;3500000
Jason Giambi;Colorado Rockies;First Baseman;1000000
Jason Hammel;Colorado Rockies;Pitcher;3000000
Jason Heyward;Atlanta Braves;Outfielder;496500
Jason Jaramillo;Pittsburgh Pirates;Catcher;422500
Jason Kendall;Kansas City Royals;Catcher;3750000
Jason Kubel;Minnesota Twins;Pitcher;5250000
Jason Marquis;Washington Nationals;Pitcher;7500000
Jason Michaels;Houston Astros;Outfielder;900000
Jason Motte;St. Louis Cardinals;Pitcher;435000
Jason Repko;Minnesota Twins;Outfielder;600000
Jason Vargas;Seattle Mariners;Pitcher;2450000
Jason Varitek;Boston Red Sox;Catcher;2000000
Javier Lopez;San Francisco Giants;Pitcher;2375000
Javier Vazquez;Miami Marlins;Pitcher;7000000
Jay Bruce;Cincinnati Reds;Outfielder;2791666
Jay Gibbons;Los Angeles Dodgers;Outfielder;650000
Jayson Nix;Toronto Blue Jays;Second Baseman;438100
Jayson Werth;Washington Nationals;Outfielder;10571428
Jed Lowrie;Boston Red Sox;Second Baseman;450000
Jeff Baker;Chicago Cubs;Second Baseman;1175000
Jeff Francis;Kansas City Royals;Pitcher;2000000
Jeff Francoeur;Kansas City Royals;Outfielder;2500000
Jeff Fulchino;Houston Astros;Pitcher;467000
Jeff Keppinger;Houston Astros;Second Baseman;2300000
Jeff Manship;Minnesota Twins;Pitcher;419000
Jeff Mathis;Los Angeles Angels;Catcher;1700000
Jeff Niemann;Tampa Bay Rays;Pitcher;903000
Jeff Samardzija;Chicago Cubs;Pitcher;3300000
Jeffrey Karstens;Pittsburgh Pirates;Pitcher;1100000
Jered Weaver;Los Angeles Angels;Pitcher;7365000
Jeremy Accardo;Baltimore Orioles;Pitcher;1080000
Jeremy Affeldt;San Francisco Giants;Pitcher;4500000
Jeremy Guthrie;Baltimore Orioles;Pitcher;5750000
Jeremy Hellickson;Tampa Bay Rays;Pitcher;418400
Jeremy Jeffress;Kansas City Royals;Pitcher;414500
Jeremy Reed;Milwaukee Brewers;Outfielder;550000
Jerry Blevins;Oakland Athletics;Pitcher;420000
Jerry Hairston Jr.;Washington Nationals;Infielder;2000000
Jesse Carlson;Toronto Blue Jays;Pitcher;450000
Jesse Crain;Chicago White Sox;Pitcher;4000000
Jesse Litsch;Toronto Blue Jays;Pitcher;830000
Jhonny Peralta;Detroit Tigers;Shortstop;5250000
Jhoulys Chacin;Colorado Rockies;Pitcher;419000
Jim Johnson;Baltimore Orioles;Pitcher;975000
Jim Thome;Minnesota Twins;Designated Hitter;3000000
Jimmy Rollins;Philadelphia Phillies;Shortstop;8500000
Joakim Soria;Kansas City Royals;Pitcher;4000000
Joaquin Benoit;Detroit Tigers;Pitcher;5500000
Joba Chamberlain;New York Yankees;Pitcher;1400000
Joe Blanton;Philadelphia Phillies;Pitcher;10500000
Joe Mauer;Minnesota Twins;Catcher;23000000
Joe Nathan;Minnesota Twins;Pitcher;11250000
Joe Paterson;Arizona Diamondbacks;Pitcher;414000
Joe Saunders;Arizona Diamondbacks;Pitcher;5500000
Joe Smith;Cleveland Indians;Pitcher;870000
Joe Thatcher;San Diego Padres;Pitcher;433900
Joel Hanrahan;Pittsburgh Pirates;Pitcher;1400000
Joel Peralta;Tampa Bay Rays;Pitcher;925000
Joel Pineiro;Los Angeles Angels;Pitcher;8000000
Joel Zumaya;Detroit Tigers;Pitcher;1400000
Joey Votto;Cincinnati Reds;First Baseman;7410655
Johan Santana;New York Mets;Pitcher;21644707
John Axford;Milwaukee Brewers;Pitcher;442500
John Baker;Miami Marlins;Catcher;417000
John Bowker;Pittsburgh Pirates;Outfielder;441500
John Buck;Miami Marlins;Catcher;5000000
John Danks;Chicago White Sox;Pitcher;6000000
John Grabow;Chicago Cubs;Pitcher;4800000
John Jaso;Tampa Bay Rays;Catcher;427200
John Lackey;Boston Red Sox;Pitcher;15950000
John Lannan;Washington Nationals;Pitcher;2750000
John Mayberry;Philadelphia Phillies;Outfielder;414000
John McDonald;Toronto Blue Jays;Shortstop;1500000
Johnny Cueto;Cincinnati Reds;Pitcher;3400000
Johnny Damon;Tampa Bay Rays;Outfielder;5250000
Jo-Jo Reyes;Toronto Blue Jays;Pitcher;439100
Jon Garland;Los Angeles Dodgers;Pitcher;4442023
Jon Jay;St. Louis Cardinals;Outfielder;416000
Jon Niese;New York Mets;Pitcher;452000
Jon Rauch;Toronto Blue Jays;Pitcher;3500000
Jonathan Broxton;Los Angeles Dodgers;Pitcher;7000000
Jonathan Herrera;Colorado Rockies;Second Baseman;419000
Jonathan Lester;Boston Red Sox;Pitcher;5750000
Jonathan Lucroy;Milwaukee Brewers;Catcher;424000
Jonathan Papelbon;Boston Red Sox;Pitcher;12000000
Jonathan Sanchez;San Francisco Giants;Pitcher;4800000
Jonny Gomes;Cincinnati Reds;Outfielder;1750000
Jonny Venters;Atlanta Braves;Pitcher;429500
Jordan Smith;Cincinnati Reds;Pitcher;416500
Jordan Walden;Los Angeles Angels;Pitcher;414000
Jordan Zimmermann;Washington Nationals;Pitcher;415000
Jorge Cantu;San Diego Padres;First Baseman;850000
Jorge De La Rosa;Colorado Rockies;Pitcher;10000000
Jorge Posada;New York Yankees;Catcher;13100000
Jose A. Bautista;Toronto Blue Jays;Outfielder;8000000
Jose Arredondo;Cincinnati Reds;Pitcher;480000
Jose Ascanio;Pittsburgh Pirates;Pitcher;416000
Jose C. Lopez;Colorado Rockies;Third Baseman;3600000
Jose Contreras;Philadelphia Phillies;Pitcher;2500000
Jose Mijares;Minnesota Twins;Pitcher;445000
Jose Molina;Toronto Blue Jays;Catcher;1200000
Jose Morales;Colorado Rockies;Catcher;420000
Jose Reyes;New York Mets;Shortstop;11000000
Jose Tabata;Pittsburgh Pirates;Outfielder;428000
Jose Valverde;Detroit Tigers;Pitcher;7000000
Josh Beckett;Boston Red Sox;Pitcher;17000000
Josh Hamilton;Texas Rangers;Outfielder;8750000
Josh Johnson;Miami Marlins;Pitcher;7750000
Josh Lueke;Seattle Mariners;Pitcher;414000
Josh Rodriguez;Pittsburgh Pirates;Shortstop;414000
Josh Rupe;Baltimore Orioles;Pitcher;475000
Josh Thole;New York Mets;Catcher;420000
Josh Tomlin;Cleveland Indians;Pitcher;417200
Josh Willingham;Oakland Athletics;Outfielder;6000000
Juan C. Gutierrez;Arizona Diamondbacks;Pitcher;430500
Juan Cruz;Tampa Bay Rays;Pitcher;850000
Juan Francisco;Cincinnati Reds;Third Baseman;414000
Juan Miranda;Arizona Diamondbacks;First Baseman;420000
Juan Pierre;Chicago White Sox;Outfielder;8500000
Juan Rivera;Toronto Blue Jays;Outfielder;5250000
