Player;Team;Position;Salary
A.J. Burnett;New York Yankees;Pitcher;16500000
A.J. Ellis;Los Angeles Dodgers;Catcher;421000
A.J. Pierzynski;Chicago White Sox;Catcher;2000000
Aaron Cook;Colorado Rockies;Pitcher;9875000
Aaron Crow;Kansas City Royals;Pitcher;1400000
Aaron Harang;San Diego Padres;Pitcher;3500000
Aaron Heilman;Arizona Diamondbacks;Pitcher;2000000
Aaron Hill;Toronto Blue Jays;Second Baseman;5000000
Aaron Laffey;Seattle Mariners;Pitcher;431600
Aaron Miles;Los Angeles Dodgers;Second Baseman;500000
Aaron Rowand;San Francisco Giants;Outfielder;13600000
Adam Dunn;Chicago White Sox;Designated Hitter;12000000
Adam Everett;Cleveland Indians;Shortstop;700000
Adam Jones;Baltimore Orioles;Outfielder;3250000
Adam Kennedy;Seattle Mariners;Second Baseman;750000
Adam LaRoche;Washington Nationals;First Baseman;7000000
Adam Lind;Toronto Blue Jays;First Baseman;5150000
Adam Moore;Seattle Mariners;Catcher;417500
Adam Rosales;Oakland Athletics;Second Baseman;425000
Adam Russell;Tampa Bay Rays;Pitcher;420800
Adam Wainwright;St. Louis Cardinals;Pitcher;6687500
Adrian Beltre;Texas Rangers;Third Baseman;14000000
Adrian Gonzalez;Boston Red Sox;First Baseman;6300000
Albert Pujols;St. Louis Cardinals;First Baseman;14508395
Alberto Arias;Houston Astros;Pitcher;439500
Alberto Callaspo;Los Angeles Angels;First Baseman;2000000
Alberto Gonzalez;San Diego Padres;Shortstop;600000
Alcides Escobar;Kansas City Royals;Shortstop;428000
Alex Avila;Detroit Tigers;Catcher;425000
Alex Cora;Washington Nationals;Second Baseman;900000
Alex Gonzalez;Atlanta Braves;Shortstop;2500000
Alex Gordon;Kansas City Royals;Outfielder;1400000
Alex Rios;Chicago White Sox;Outfielder;12500000
Alex Rodriguez;New York Yankees;Third Baseman;32000000
Alexei Ramirez;Chicago White Sox;Shortstop;2750000
Alexi Casilla;Minnesota Twins;Shortstop;865000
Alexi Ogando;Texas Rangers;Pitcher;430150
Alfonso Soriano;Chicago Cubs;Outfielder;19000000
Allen Craig;St. Louis Cardinals;Outfielder;414000
Andre Ethier;Los Angeles Dodgers;Outfielder;9500000
Andres Blanco;Texas Rangers;Second Baseman;520000
Andres Torres;San Francisco Giants;Outfielder;2200000
Andrew Bailey;Oakland Athletics;Pitcher;465000
Andrew Cashner;Chicago Cubs;Pitcher;427500
Andrew McCutchen;Pittsburgh Pirates;Outfielder;452500
Andruw Jones;New York Yankees;Outfielder;1500000
Andy LaRoche;Oakland Athletics;Third Baseman;600000
Andy Sonnanstine;Tampa Bay Rays;Pitcher;912500
Aneury Rodriguez;Houston Astros;Pitcher;414000
Angel Pagan;New York Mets;Outfielder;3500000
Angel Sanchez;Houston Astros;Shortstop;432500
Anibal Sanchez;Miami Marlins;Pitcher;3700000
Antonio Bastardo;Philadelphia Phillies;Pitcher;419000
